,date,country,D,H,I,M,S
0,2021-04-01,Afghanistan,0,37,0,0,0
1,2021-04-01,Sweden,0,9,0,0,0
2,2021-04-01,Japan,0,121,0,0,0
3,2021-04-02,Afghanistan,0,28,9,0,0
4,2021-04-02,Sweden,0,7,2,0,0
5,2021-04-02,Japan,0,88,33,0,0
6,2021-04-03,Afghanistan,0,19,18,0,0
7,2021-04-03,Sweden,0,7,2,0,0
8,2021-04-03,Japan,0,58,63,0,0
9,2021-04-04,Afghanistan,0,14,23,0,0
10,2021-04-04,Sweden,0,5,4,0,0
11,2021-04-04,Japan,0,37,84,0,0
12,2021-04-05,Afghanistan,0,11,26,0,0
13,2021-04-05,Sweden,0,4,5,0,0
14,2021-04-05,Japan,0,25,96,0,0
15,2021-04-06,Afghanistan,0,8,20,5,4
16,2021-04-06,Sweden,0,4,3,1,1
17,2021-04-06,Japan,0,20,68,19,14
18,2021-04-07,Afghanistan,0,5,14,9,9
19,2021-04-07,Sweden,0,2,5,1,1
20,2021-04-07,Japan,0,13,45,32,31
21,2021-04-08,Afghanistan,0,5,9,13,10
22,2021-04-08,Sweden,0,2,3,2,2
23,2021-04-08,Japan,0,6,31,44,40
24,2021-04-09,Afghanistan,0,5,6,15,11
25,2021-04-09,Sweden,0,1,3,3,2
26,2021-04-09,Japan,0,3,22,50,46
27,2021-04-10,Afghanistan,0,2,6,16,13
28,2021-04-10,Sweden,0,1,3,3,2
29,2021-04-10,Japan,0,1,19,52,49
30,2021-04-11,Afghanistan,0,1,4,18,14
31,2021-04-11,Sweden,0,1,1,4,3
32,2021-04-11,Japan,0,1,12,53,55
33,2021-04-12,Afghanistan,0,1,4,18,14
34,2021-04-12,Sweden,0,0,2,4,3
35,2021-04-12,Japan,0,1,5,56,59
36,2021-04-13,Afghanistan,0,1,4,18,14
37,2021-04-13,Sweden,0,0,1,4,4
38,2021-04-13,Japan,0,1,2,56,62
39,2021-04-14,Afghanistan,0,1,1,18,17
40,2021-04-14,Sweden,0,0,1,4,4
41,2021-04-14,Japan,0,1,0,57,63
42,2021-04-15,Afghanistan,0,1,0,19,17
43,2021-04-15,Sweden,0,0,1,4,4
44,2021-04-15,Japan,0,0,1,57,63
45,2021-04-16,Afghanistan,0,1,0,19,17
46,2021-04-16,Sweden,0,0,0,5,4
47,2021-04-16,Japan,0,0,1,57,63
48,2021-04-17,Afghanistan,0,1,0,19,17
49,2021-04-17,Sweden,0,0,0,5,4
50,2021-04-17,Japan,0,0,1,57,63
51,2021-04-18,Afghanistan,0,1,0,19,17
52,2021-04-18,Sweden,0,0,0,5,4
53,2021-04-18,Japan,0,0,1,57,63
54,2021-04-19,Afghanistan,0,1,0,19,17
55,2021-04-19,Sweden,0,0,0,5,4
56,2021-04-19,Japan,0,0,0,57,64
57,2021-04-20,Afghanistan,1,0,1,22,13
58,2021-04-20,Sweden,0,0,0,6,3
59,2021-04-20,Japan,4,0,0,67,50
60,2021-04-21,Afghanistan,1,0,1,27,8
61,2021-04-21,Sweden,0,0,0,6,3
62,2021-04-21,Japan,10,0,0,78,33
63,2021-04-22,Afghanistan,2,0,1,27,7
64,2021-04-22,Sweden,0,0,0,7,2
65,2021-04-22,Japan,13,0,0,84,24
66,2021-04-23,Afghanistan,2,0,1,28,6
67,2021-04-23,Sweden,0,0,0,7,2
68,2021-04-23,Japan,16,0,0,87,18
69,2021-04-24,Afghanistan,3,0,0,29,5
70,2021-04-24,Sweden,0,0,0,7,2
71,2021-04-24,Japan,16,0,0,90,15
72,2021-04-25,Afghanistan,3,0,0,30,4
73,2021-04-25,Sweden,0,0,0,8,1
74,2021-04-25,Japan,17,0,0,95,9
75,2021-04-26,Afghanistan,3,0,0,30,4
76,2021-04-26,Sweden,0,0,0,8,1
77,2021-04-26,Japan,17,0,0,99,5
78,2021-04-27,Afghanistan,3,0,0,30,4
79,2021-04-27,Sweden,0,0,0,9,0
80,2021-04-27,Japan,17,0,0,102,2
81,2021-04-28,Afghanistan,3,0,0,33,1
82,2021-04-28,Sweden,0,0,0,9,0
83,2021-04-28,Japan,18,0,0,102,1
84,2021-04-29,Afghanistan,3,0,0,33,1
85,2021-04-29,Sweden,0,0,0,9,0
86,2021-04-29,Japan,18,0,0,102,1
87,2021-04-30,Afghanistan,3,0,0,33,1
88,2021-04-30,Sweden,0,0,0,9,0
89,2021-04-30,Japan,18,0,0,102,1
90,2021-05-01,Afghanistan,3,0,0,33,1
91,2021-05-01,Sweden,0,0,0,9,0
92,2021-05-01,Japan,18,0,0,102,1
93,2021-05-02,Afghanistan,3,0,0,33,1
94,2021-05-02,Sweden,0,0,0,9,0
95,2021-05-02,Japan,18,0,0,102,1
96,2021-05-03,Afghanistan,3,0,0,33,1
97,2021-05-03,Sweden,0,0,0,9,0
98,2021-05-03,Japan,18,0,0,103,0
99,2021-05-04,Afghanistan,3,0,0,33,1
100,2021-05-04,Sweden,0,0,0,9,0
101,2021-05-04,Japan,18,0,0,103,0
102,2021-05-05,Afghanistan,3,0,0,33,1
103,2021-05-05,Sweden,0,0,0,9,0
104,2021-05-05,Japan,18,0,0,103,0
105,2021-05-06,Afghanistan,3,0,0,33,1
106,2021-05-06,Sweden,0,0,0,9,0
107,2021-05-06,Japan,18,0,0,103,0
108,2021-05-07,Afghanistan,3,0,0,33,1
109,2021-05-07,Sweden,0,0,0,9,0
110,2021-05-07,Japan,18,0,0,103,0
111,2021-05-08,Afghanistan,3,0,0,34,0
112,2021-05-08,Sweden,0,0,0,9,0
113,2021-05-08,Japan,18,0,0,103,0
114,2021-05-09,Afghanistan,3,0,0,34,0
115,2021-05-09,Sweden,0,0,0,9,0
116,2021-05-09,Japan,18,0,0,103,0
117,2021-05-10,Afghanistan,3,0,0,34,0
118,2021-05-10,Sweden,0,0,0,9,0
119,2021-05-10,Japan,18,0,0,103,0
120,2021-05-11,Afghanistan,3,0,0,34,0
121,2021-05-11,Sweden,0,0,0,9,0
122,2021-05-11,Japan,18,0,0,103,0
123,2021-05-12,Afghanistan,3,0,0,34,0
124,2021-05-12,Sweden,0,0,0,9,0
125,2021-05-12,Japan,18,0,0,103,0
126,2021-05-13,Afghanistan,3,0,0,34,0
127,2021-05-13,Sweden,0,0,0,9,0
128,2021-05-13,Japan,18,0,0,103,0
129,2021-05-14,Afghanistan,3,0,0,34,0
130,2021-05-14,Sweden,0,0,0,9,0
131,2021-05-14,Japan,18,0,0,103,0
132,2021-05-15,Afghanistan,3,0,0,34,0
133,2021-05-15,Sweden,0,0,0,9,0
134,2021-05-15,Japan,18,0,0,103,0
135,2021-05-16,Afghanistan,3,0,0,34,0
136,2021-05-16,Sweden,0,0,0,9,0
137,2021-05-16,Japan,18,0,0,103,0
138,2021-05-17,Afghanistan,3,0,0,34,0
139,2021-05-17,Sweden,0,0,0,9,0
140,2021-05-17,Japan,18,0,0,103,0
141,2021-05-18,Afghanistan,3,0,0,34,0
142,2021-05-18,Sweden,0,0,0,9,0
143,2021-05-18,Japan,18,0,0,103,0
144,2021-05-19,Afghanistan,3,0,0,34,0
145,2021-05-19,Sweden,0,0,0,9,0
146,2021-05-19,Japan,18,0,0,103,0
147,2021-05-20,Afghanistan,3,0,0,34,0
148,2021-05-20,Sweden,0,0,0,9,0
149,2021-05-20,Japan,18,0,0,103,0
150,2021-05-21,Afghanistan,3,0,0,34,0
151,2021-05-21,Sweden,0,0,0,9,0
152,2021-05-21,Japan,18,0,0,103,0
153,2021-05-22,Afghanistan,3,0,0,34,0
154,2021-05-22,Sweden,0,0,0,9,0
155,2021-05-22,Japan,18,0,0,103,0
156,2021-05-23,Afghanistan,3,0,0,34,0
157,2021-05-23,Sweden,0,0,0,9,0
158,2021-05-23,Japan,18,0,0,103,0
159,2021-05-24,Afghanistan,3,0,0,34,0
160,2021-05-24,Sweden,0,0,0,9,0
161,2021-05-24,Japan,18,0,0,103,0
162,2021-05-25,Afghanistan,3,0,0,34,0
163,2021-05-25,Sweden,0,0,0,9,0
164,2021-05-25,Japan,18,0,0,103,0
165,2021-05-26,Afghanistan,3,0,0,34,0
166,2021-05-26,Sweden,0,0,0,9,0
167,2021-05-26,Japan,18,0,0,103,0
168,2021-05-27,Afghanistan,3,0,0,34,0
169,2021-05-27,Sweden,0,0,0,9,0
170,2021-05-27,Japan,18,0,0,103,0
171,2021-05-28,Afghanistan,3,0,0,34,0
172,2021-05-28,Sweden,0,0,0,9,0
173,2021-05-28,Japan,18,0,0,103,0
174,2021-05-29,Afghanistan,3,0,0,34,0
175,2021-05-29,Sweden,0,0,0,9,0
176,2021-05-29,Japan,18,0,0,103,0
177,2021-05-30,Afghanistan,3,0,0,34,0
178,2021-05-30,Sweden,0,0,0,9,0
179,2021-05-30,Japan,18,0,0,103,0
180,2021-05-31,Afghanistan,3,0,0,34,0
181,2021-05-31,Sweden,0,0,0,9,0
182,2021-05-31,Japan,18,0,0,103,0
183,2021-06-01,Afghanistan,3,0,0,34,0
184,2021-06-01,Sweden,0,0,0,9,0
185,2021-06-01,Japan,18,0,0,103,0
186,2021-06-02,Afghanistan,3,0,0,34,0
187,2021-06-02,Sweden,0,0,0,9,0
188,2021-06-02,Japan,18,0,0,103,0
189,2021-06-03,Afghanistan,3,0,0,34,0
190,2021-06-03,Sweden,0,0,0,9,0
191,2021-06-03,Japan,18,0,0,103,0
192,2021-06-04,Afghanistan,3,0,0,34,0
193,2021-06-04,Sweden,0,0,0,9,0
